parent_id,bbl,address,role,map_id,measurement_status,review_note
historical__210179803,2039430199,1701 PURDY STREET,filing,20394320201214173146,assessment_only,Irregular merged parcel. The assessment says 39507; the mapped polygon is somewhat larger. A dimensioned survey is needed for an independent area check.
historical__321598883,3034000068,393 WEIRFIELD STREET,filing,30340020210723144407,assessment_only,L-shaped lot despite the regular-lot assessment flag. Multiplying the recorded frontage and depth would overstate area. No complete survey calculation established here.
historical__B00509455,3022650022,11 GERRY STREET,filing,30226520240625095122,dimensions_agree,"Map trapezoid: parallel sides 28.33 and 152.12 feet, separation 200 feet."
historical__B00665500,3030760018,265 LORIMER STREET,filing,30307620220811171416,assessment_only,Irregular retained lot with several notches. The final assessment changes from 45129 to 34411 after the split; no independent survey calculation established here.
historical__B00665570,3004260047,565 SACKETT STREET,filing,30042620250918151843,dimensions_agree,"Rectangle 125 by 100 feet. Deed Schedule A, PDF pages 30-31. This parcel combines with lot 17 for the 2025-26 documented site."
historical__B00665570,3004260017,565 SACKETT STREET,documented_site,30042620250918151843,dimensions_agree,"Deed Schedule A, PDF page 30: 265 by 100, less a 10 by 10 notch, plus the 10 by 100 Sackett access strip. This is the September 2025 parcel, before the August 2026 merger."
historical__B00665570,3004260016,565 SACKETT STREET,excluded_sibling,30042620250918151843,assessment_conflict,September 2025 DOF map gives 85 by 100 plus 10 by 10 = 8600. FY2027 assessment instead says 12500. The NYSDEC amendment removes this neighboring parcel from the site.
historical__Q00657653,4099990001,94-15 SUTPHIN BOULEVARD,filing,40999920220131162425,dimensions_agree,Approximate two-rectangle check from the dated map. Street angles and rounded lengths prevent survey precision.
historical__X00687757,2029740030,1166 FOX STREET,filing,20297420230216165325,dimensions_agree,Rectangle 100 by 100.15 feet. The assessment changes from 2500 to 10015 after reapportionment.
historical__X00702588,2037970033,2070 CHATTERTON AVENUE,filing,20379720250603094306,dimensions_agree,Map rectangle approximately 200.16 by 105.58 feet. NB X00702588 identifies this retained lot in the DOF history.
historical__X00705496,2039630057,2123 GLEBE AVENUE,filing,20396320230214161010,dimensions_agree,Near rectangle. Use mean opposite lengths (138.21/138.30 and 64.67/64.78) only as an approximate check.
post_policy__B01312761-I1,3025670001,10 NOBLE STREET;41 OAK STREET,filing,30256720250314151409,waterfront_definition,"299214 is the full tax-lot assessment area. MapPLUTO geometry is shoreline clipped. CB1 May 27 notice for June 9 meeting, pages 2-3, reports a 173834-square-foot development site."
post_policy__B01312761-I1,3025670010,10 NOBLE STREET;41 OAK STREET,filing,30256720250314151409,proposed_subdivision,CB1 notice pages 2-3 explicitly describes tentative apportionment of lot 1 into lots 1 and 10. Do not add a second full predecessor area or invent a separate lot-10 area.
post_policy__X01201390-I1,2057000079,3008 GODWIN TERRACE,filing,20570020251119112812,dimensions_agree,A closed polygon reconstructed from map dimensions gives approximately 12539 square feet versus the assessment 12541. Orthogonal block edges and rounded map dimensions are approximate.
post_policy__X01265022-I1,2036720001,1920 TURNBULL AVENUE;1933 LAFAYETTE AVENUE,filing,20367220250919145859,dimensions_agree,"Approximately mean(564.86,564.87) by 200.03 feet; map calculation is within two square feet of assessment."
post_policy__X01265022-I1,2036720020,1920 TURNBULL AVENUE;1933 LAFAYETTE AVENUE,filing,20367220250919145859,dimensions_agree,Approximately 224.50 by 91.53 feet; rounding and street angles account for a sub-one-square-foot discrepancy.
post_policy__X01201390-I1,2057000088,3007 KIMBERLY PLACE,filing,20570020251119112812,assessment_only,Companion filing X01202536-I1 belongs to the same reviewed development. The saved FY2027 assessment records 5900 square feet; recorded development agreements place lot88 with lot79. Added after the September21 parent merger.
