parent_id,review_status,before_map_id,after_map_id,reviewed_transaction_ids,review_note
historical__210179803,comparison,20394320091022131752,20394320201214173146,91285,The mapped filing lot contains the former lot 199 plus former block 3947 lot 88. Production includes only former lot 199. The DOF event also touches lot 89; its remaining parcel is outside the mapped filing footprint.
historical__321598883,comparison,30340020081205180757,30340020210723144407,93146;93151,DOF records a same-day merger and reapportionment of lots 35/63/68. Retained number 68 refers to a much larger parcel after that transaction. Production matches the small earlier parcel with that number.
historical__B00509455,comparison,30226520081205122526,30226520240625095122,92987,Old lot 14 was divided into five parcels. Filing lot 22 is the western trapezoid. The map dimensions imply approximately 18045 square feet; PLUTO records 18044. Production assigns the entire old lot.
historical__B00665500,comparison,30307620191110112044,30307620220811171416,96727,Old lot 18 was divided into retained lot 18 and lot 30. The filing parcel is retained lot 18. Production assigns the full predecessor parcel.
historical__B00665570,unresolved_project_extent,30042620081209191642,30042620250918151843,96939;96940;397740;666948,"Live DOB B00665570-I1 reports 48500 square feet and 300 units. Its August 2025 zoning declaration includes tentative lots 16/17/47, while the later sale and cleanup site includes only 17/47 at 39900. The original February 2022 site plan remains needed to date the parent land endowment. The neighboring lot 16 measures 8600 despite an assessment of 12500. Exclude from correction averages; see dof_area_validation.md and manual_portal_review.md."
historical__Q00657653,comparison,40999920171228094756,40999920220131162425,94895,Old lot 1 was divided into retained lot 1 and lot 40 before this February 2022 filing. The mapped filing parcel is roughly half the former site. NYSDEC Site B application also documents this subdivision.
historical__X00687757,comparison,20297420081205110113,20297420230216165325,98037;98043,DOF records a same-day merger of lots 30/131/132/134 and reapportionment into 30/134. Retained lot 30 contains the first three parcels and part of old 134. Map dimensions 100 by 100.15 feet agree with PLUTO area 10015. Production matches only old lot 30.
historical__X00702588,comparison,20379720180104164133,20379720250603094306,320942,Old lot 33 was divided into retained lot 33 and lot 70. DOF explicitly identifies NB job X00702588 for retained lot 33. Production assigns both pieces through their predecessor.
historical__X00705496,comparison,20396320190214154133,20396320230214161010,97994,Old lot 57 was divided into retained lot 57 and lot 60. The mapped filing parcel is retained lot 57. Production assigns the full predecessor parcel.
post_policy__B01312761-I1,unresolved_area_definition,30256720081205134723,30256720250314151409,260940,CB1 documents the 173834-square-foot two-building site and proposed lots 1/10. DOF full-tax-lot area is 299214; earlier production uses 252780. Shoreline-clipped geometry also changes between 2023 and 2025. The 2001 deed already includes street-centerline boundaries; the 2024 deed and cited survey must reconcile the precise street extent. Exclude from correction averages; see dof_area_validation.md and manual_portal_review.md.
post_policy__X01201390-I1,comparison,20570020081206212858,20570020251119112812,450942,The accepted Godwin/Kimberly parent uses lots79 and88 together: 12541+5900=18441 square feet. The September15 DOF geometry covers79 and the September21 companion snapshot adds88; the original assessment snapshot already contains both. The earlier recorded LotArea differs from its polygon area; do not prorate that old attribute.
post_policy__X01265022-I1,comparison,20367220200117121751,20367220250919145859,399340,"The parent uses lot 1 plus retained lot 20. Old lot 20 was divided into 20/40, so production also counts the excluded lot 40 land."
