filename,url,acquired_date,sha256,bytes,notes
dob_job_filings_210182069.json,https://data.cityofnewyork.us/resource/ic3t-wcy2.json?$where=job__='210182069',2026-09-21,5b77cb5e7a6c9d3653935a28f72da4d5f786236c2aba421e852bdf812cf6b207,5037,"Official NYC Open Data DOB job feed; retrieved 2026-09-21. Parent doc 01 filed 2020-10-13, approved 2021-10-22; 710 proposed units and 565,497 zoning sf. Snapshot run date 2026-09-20."
exterior_rawp_final_20210113.pdf,https://extapps.dec.ny.gov/data/DecDocs/C203129/Work%20Plan.BCP.C203129.2021-01-13.RAWP_Final.pdf,2026-09-21,bd07b4f91752e9b5a2cdb9ebfda913fa29d464b67d3e764b80e7519edd2d1765,78587379,"Original NYSDEC PDF; document created/listed 2021-01-13; retrieved 2026-09-21. Physical pp. 10, 15-16, 81 and 108 are cited."
exterior_exchange_7018.pdf,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2021091800077018,2026-09-21,597a01bf5a2fc8b39edfb66633fe14881a3e8e7c941c05d9d97dab24e21fe87a,392321,"Complete original ACRIS browser export on 2026-09-21. Deed dated 2021-07-29, recorded 2021-09-24; physical pp. 2-4 convey p/o old lot 38 to be p/o lot 46."
exterior_exchange_7026.pdf,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2021091800077026,2026-09-21,dc11ed0fbb9321fd8ec4f3035769b825c448713a8c6c85c99916eb059d9d4ce2,410292,"Complete original ACRIS browser export on 2026-09-21. Deed dated 2021-07-29, recorded 2021-09-24; physical pp. 3-7 convey lots 46/47 including the p/o-38 tract to common 355/399 tenancy."
exterior_exchange_7027.pdf,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2021091800077027,2026-09-21,29722bc9d9f41d601fad160d9ca5328e1ae012408a14f3f78d24b2add97f576b,371600,"Complete original ACRIS browser export on 2026-09-21. Deed dated 2021-07-30, recorded 2021-09-24; physical pp. 3-6 convey lot 100 to the same common 355/399 tenancy."
exterior_dob_pd1_ES079163428.pdf,https://a810-bisweb.nyc.gov/bisweb/BScanJobDocumentServlet?requestid=1&passjobnumber=210182069&passdocnumber=01&allbin=2001079&scancode=ES079163428,2026-09-21,411f6c1f1472457dd2a2ad1c457aef44ebc84774548e69f97c513046dfe7b688,478046,"Original DOB scan saved from the embedded content in Safari on 2026-09-21. Signed 2020-12-17; VJF scan timestamp 2021-01-21 10:40:34. One-page PD1 for exact job; shows broad zoning lot, not building allocation."
exterior_dob_zd1_ES615641380.pdf,https://a810-bisweb.nyc.gov/bisweb/BScanJobDocumentServlet?requestid=1&passjobnumber=210182069&passdocnumber=01&allbin=2001079&scancode=ES615641380,2026-09-21,072318d3c7efe39e4e02ddcc610f9a46060eeda99b8ecae9da920cdc15c34f9e,856562,"Original DOB scan saved from the embedded content in Safari on 2026-09-21. Initial plan date 2020-11-30, signed revision 2021-10-07; VJF scan timestamp 2021-10-19 15:02:42. Four pages; physical p. 2 is decisive site plan."
dof_tax_map_202349_after_20230104.pdf,https://propertyinformationportal.nyc.gov/pdf/home/index/map_library/20234920230104164053,2026-09-21,b15cd95f52dabd5ef78f8048993ca708ca108843ba5e95f3df9582e3a802c872,263627,Original NYC DOF Digital Tax Map; effective 2023-01-04. Acquired 2026-09-20 in earlier supervised source folder and copied byte-for-byte here 2026-09-21.
current_pluto_2023490046.json,https://data.cityofnewyork.us/resource/64uk-42ks.json?$where=bbl=2023490046&$limit=10,2026-09-21,2e021c5678e5dc7d277b3680d63eec2d1c1561948f18b35ecdff90b85794086e,1661,"Official DCP PLUTO API response retrieved 2026-09-21; version 26v2, lot area 120,272 sf, app BBL 2023490038, app date 2023-01-27. Later snapshot; not used to change frozen units."
exterior_399_decision_20210717.pdf,https://extapps.dec.ny.gov/data/DecDocs/C203139/Decision%20Document.BCP.C203139.2021-07-17.DD.pdf,2026-09-20,4220b34fd189c86d4e3392cf1fcf9d85b9bb760a01339669e55dcd810826c4e1,1474233,Original NYSDEC PDF copied byte-for-byte from earlier supervised folder on 2026-09-21. Physical p. 7 describes adjacent 399 site as a parking lot and its separate proposed redevelopment.
exterior_zoning_2021100100618001.pdf,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2021100100618001,2026-09-20,a2ae187e0fa3e903a97f56be5cf7a49c10fd5e7b8974a999a8a26b23ee0d6bb0,344111,"Complete original ACRIS browser export copied byte-for-byte from earlier supervised folder on 2026-09-21. Dated 2021-09-30, recorded 2021-10-07; physical pp. 3-8 define parcels and state-lot areas."
