source_id,vintage,release_order,safe_available_date,usable_for_training,evidence_url,date_basis,notes
dcp_pluto_archive,09v1,1,2009-06-24,TRUE,https://s-media.nyc.gov/agencies/dcp/assets/files/zip/data-tools/bytes/pluto/nyc_pluto_09v1.zip,maximum internal tax-lot file date in official DCP archive zip,Legacy PLUTO lot attributes; documentation-only timestamps ignored for the date basis.
dcp_pluto_archive,09v2,2,2009-10-06,TRUE,https://s-media.nyc.gov/agencies/dcp/assets/files/zip/data-tools/bytes/pluto/nyc_pluto_09v2.zip,maximum internal tax-lot file date in official DCP archive zip,Legacy PLUTO lot attributes; documentation-only timestamps ignored for the date basis.
dcp_pluto_archive,10v1,3,2010-04-07,TRUE,https://s-media.nyc.gov/agencies/dcp/assets/files/zip/data-tools/bytes/pluto/nyc_pluto_10v1.zip,maximum internal tax-lot file date in official DCP archive zip,Legacy PLUTO lot attributes; documentation-only timestamps ignored for the date basis.
dcp_pluto_archive,10v2,4,2011-01-06,TRUE,https://s-media.nyc.gov/agencies/dcp/assets/files/zip/data-tools/bytes/pluto/nyc_pluto_10v2.zip,maximum internal tax-lot file date in official DCP archive zip,Legacy PLUTO lot attributes; documentation-only timestamps ignored for the date basis.
dcp_pluto_archive,11v1,5,2011-03-29,TRUE,https://s-media.nyc.gov/agencies/dcp/assets/files/zip/data-tools/bytes/pluto/nyc_pluto_11v1.zip,maximum internal tax-lot file date in official DCP archive zip,Legacy PLUTO lot attributes; documentation-only timestamps ignored for the date basis.
dcp_pluto_archive,11v2,6,2011-11-02,TRUE,https://s-media.nyc.gov/agencies/dcp/assets/files/zip/data-tools/bytes/pluto/nyc_pluto_11v2.zip,maximum internal tax-lot file date in official DCP archive zip,Legacy PLUTO lot attributes; documentation-only timestamps ignored for the date basis.
dcp_pluto_archive,12v1,7,2012-03-27,TRUE,https://s-media.nyc.gov/agencies/dcp/assets/files/zip/data-tools/bytes/pluto/nyc_pluto_12v1.zip,maximum internal tax-lot file date in official DCP archive zip,Legacy PLUTO lot attributes; documentation-only timestamps ignored for the date basis.
dcp_pluto_archive,12v2,8,2012-11-14,TRUE,https://s-media.nyc.gov/agencies/dcp/assets/files/zip/data-tools/bytes/pluto/nyc_pluto_12v2.zip,maximum internal tax-lot file date in official DCP archive zip,Legacy PLUTO lot attributes; a later documentation-only timestamp in the zip is ignored for the date basis.
dcp_pluto_archive,13v1,9,2013-07-17,TRUE,https://s-media.nyc.gov/agencies/dcp/assets/files/zip/data-tools/bytes/pluto/nyc_pluto_13v1.zip,maximum internal tax-lot file date in official DCP archive zip,Legacy PLUTO lot attributes; documentation-only timestamps ignored for the date basis.
dcp_pluto_archive,13v2,10,2013-11-12,TRUE,https://s-media.nyc.gov/agencies/dcp/assets/files/zip/data-tools/bytes/pluto/nyc_pluto_13v2.zip,maximum internal tax-lot file date in official DCP archive zip,Legacy PLUTO lot attributes; documentation-only timestamps ignored for the date basis.
dcp_pluto_archive,14v1,11,2014-06-02,TRUE,https://s-media.nyc.gov/agencies/dcp/assets/files/zip/data-tools/bytes/pluto/nyc_pluto_14v1.zip,maximum internal tax-lot file date in official DCP archive zip,Legacy PLUTO lot attributes; documentation-only timestamps ignored for the date basis.
dcp_pluto_archive,14v2,12,2014-12-22,TRUE,https://s-media.nyc.gov/agencies/dcp/assets/files/zip/data-tools/bytes/pluto/nyc_pluto_14v2.zip,maximum internal tax-lot file date in official DCP archive zip,Legacy PLUTO lot attributes; documentation-only timestamps ignored for the date basis.
dcp_pluto_archive,15v1,13,2015-06-22,TRUE,https://s-media.nyc.gov/agencies/dcp/assets/files/zip/data-tools/bytes/pluto/nyc_pluto_15v1.zip,maximum internal tax-lot file date in official DCP archive zip,Legacy PLUTO lot attributes; documentation-only timestamps ignored for the date basis.
dcp_pluto_archive,16v1,14,2016-03-30,TRUE,https://s-media.nyc.gov/agencies/dcp/assets/files/zip/data-tools/bytes/pluto/nyc_pluto_16v1.zip,maximum internal tax-lot file date in official DCP archive zip,Legacy PLUTO lot attributes; documentation-only timestamps ignored for the date basis.
dcp_pluto_archive,16v2,15,2016-10-28,TRUE,https://s-media.nyc.gov/agencies/dcp/assets/files/zip/data-tools/bytes/pluto/nyc_pluto_16v2.zip,maximum internal tax-lot file date in official DCP archive zip,Legacy PLUTO lot attributes; documentation-only timestamps ignored for the date basis.
dcp_pluto_archive,17v1,16,2017-12-21,TRUE,https://s-media.nyc.gov/agencies/dcp/assets/files/zip/data-tools/bytes/pluto/nyc_pluto_17v1.zip?r=1,maximum internal tax-lot file date in official DCP archive zip,Legacy PLUTO lot attributes; documentation-only timestamps ignored for the date basis.
dcp_pluto_archive,17v1.1,17,2018-01-22,TRUE,https://s-media.nyc.gov/agencies/dcp/assets/files/zip/data-tools/bytes/pluto/nyc_pluto_17v1_1.zip?r=1,maximum internal tax-lot file date in official DCP archive zip,Legacy PLUTO lot attributes; documentation-only timestamps ignored for the date basis.
dcp_pluto_archive,18v1,18,2018-06-06,TRUE,https://s-media.nyc.gov/agencies/dcp/assets/files/zip/data-tools/bytes/pluto/nyc_pluto_18v1.zip,maximum internal tax-lot file date in official DCP archive zip,Last legacy PLUTO release before archived MapPLUTO 18v1.1.
dcp_mappluto_archive,18v1.1,19,2018-12-07,TRUE,https://s-media.nyc.gov/agencies/dcp/assets/files/zip/data-tools/bytes/mappluto/nyc_mappluto_18v1_1_arc_shp.zip,maximum internal file date in official DCP archive zip,First archived MapPLUTO release available in the repo.
dcp_mappluto_archive,18v2Beta,20,2019-01-17,TRUE,https://s-media.nyc.gov/agencies/dcp/assets/files/zip/data-tools/bytes/mappluto/nyc_mappluto_18v2_arc_shp.zip,maximum internal file date in official DCP archive zip,Beta release kept because the archive label and file release match under the fetch task's release-label rule.
dcp_mappluto_archive,18v2.1,21,2019-04-05,TRUE,https://s-media.nyc.gov/agencies/dcp/assets/files/zip/data-tools/bytes/mappluto/nyc_mappluto_18v2_1_arc_shp.zip,maximum internal file date in official DCP archive zip,Usable archived shapefile release.
dcp_mappluto_archive,19v1,22,2019-09-25,TRUE,https://s-media.nyc.gov/agencies/dcp/assets/files/zip/data-tools/bytes/mappluto/nyc_mappluto_19v1_arc_shp.zip,maximum internal file date in official DCP archive zip,Usable archived shapefile release.
dcp_mappluto_archive,19v2,23,2019-11-22,TRUE,https://s-media.nyc.gov/agencies/dcp/assets/files/zip/data-tools/bytes/mappluto/nyc_mappluto_19v2_arc_shp.zip,maximum internal file date in official DCP archive zip,Usable archived shapefile release.
dcp_mappluto_archive,20v1,24,2020-01-27,TRUE,https://s-media.nyc.gov/agencies/dcp/assets/files/zip/data-tools/bytes/mappluto/nyc_mappluto_20v1_arc_shp.zip,maximum internal file date in official DCP archive zip,Usable archived shapefile release.
dcp_mappluto_archive,20v2,25,2020-04-03,TRUE,https://s-media.nyc.gov/agencies/dcp/assets/files/zip/data-tools/bytes/mappluto/nyc_mappluto_20v2_arc_shp.zip,maximum internal file date in official DCP archive zip,Usable archived shapefile release.
