file,publisher,source_date,retrieved,url,sha256,pages
reopened_02_dec_c224350_application_2022.pdf,NY State DEC,2022-01-13,2026-09-22,https://extapps.dec.ny.gov/data/DecDocs/C224350/Application.BCP.C224350.2022-01-13.Complete%20Application.pdf,5f0448ddfc4e7bb630aa104baa5aee593691a620dcf40b0123b3479e144f5009,6;81;84
reopened_02_dec_c224350_consent_order_2024.pdf,NY State DEC,2024-04-01,2026-09-22,https://extapps.dec.ny.gov/data/DecDocs/C224350/Consent%20Order.BCP.C224350.2024-04-01.318_Nevins_Street.pdf,4f8b0fb82cd2bd25629bcd02c9824d8a99e65172fe182df9f57887ccae88d9df,1
reopened_02_esd_gowanus_gpp_2024.pdf,Empire State Development,2024-03,2026-09-22,https://esd.ny.gov/sites/default/files/media/document/Gowanus-Neighborhood-Development-Proposed-General-Project-Plan.pdf,2dfdf136946be89ac0fce078d9d14b46f6a23ddb7c19da93f9bf76fc22393525,5
reopened_02_esd_gowanus_technical_memo_2024.pdf,Empire State Development,2024,2026-09-22,https://esd.ny.gov/sites/default/files/media/document/Item-VA-Exhibit%203-Gowanus-ESD-Technical-Memorandum.pdf,aa0591e62cd73fbed4385b497891a908aa1b3b46905e24c2d671a9db836580e3,120
reopened_03_17dcp067k_eas.pdf,NYC City Planning,2018-06-08,2026-09-22,https://www1.nyc.gov/assets/planning/download/pdf/applicants/env-review/eas/17dcp067k_eas.pdf,57e46b4e16a98642b2455808a44eabd32d5c9a6bee756d064c87f178e49e2fd0,25
reopened_03_append2_feis.pdf,NYC City Planning,2021,2026-09-22,https://www1.nyc.gov/assets/planning/download/pdf/applicants/env-review/960-franklin-ave/append2-feis.pdf,c1755f1ff0c3cc93b7f231e40131a0877e91f529de55e7e4317798b7b209de8a,3
reopened_05_dof_map_2008.pdf,NYC DOF,2008-12-07,2026-09-22,https://propertyinformationportal.nyc.gov/pdf/home/index/map_library/40042820081207105706,899d1348435c6a9193ad1868abb7e60571ff680e403886751a6f93c8dd8028e0,1
reopened_05_dof_map_2021.pdf,NYC DOF,2021-06-09,2026-09-22,https://propertyinformationportal.nyc.gov/pdf/home/index/map_library/40042820210609123051,c9d72bf480218cb0deb54c1cf59cd69564952aa5845e6169a697fc33d6096a43,1
reopened_06_dof_map_2014.pdf,NYC DOF,2014-01-09,2026-09-22,https://propertyinformationportal.nyc.gov/pdf/home/index/map_library/20304320140109152807,1a0f21711e139ad31fa65ad1ecc6b7284ded3d2ee8b14e64c9e0c5d0b79cd0e8,1
reopened_06_dof_map_2025.pdf,NYC DOF,2025-05-07,2026-09-22,https://propertyinformationportal.nyc.gov/pdf/home/index/map_library/20304320250507162556,3f4fe831db0a7f1fe4f20e1dafff3594fb0f71d6fa946f6f14460825e4da3265,1
reopened_06_dec_c203182_bcp_application.pdf,NY State DEC,2024-12-04,2026-09-22,https://extapps.dec.ny.gov/data/DecDocs/C203182/Application.BCP.C203182.2024-12-04.Complete%20BCP%20Application.pdf,dd1465b43d22be60baa463369fb6ade196fe865e8ee761ea4a6db62176db568d,17-18;33
reopened_06_dob_zd1_220212918.pdf,NYC DOB drawing hosted by PincusCo,2026-03-10,2026-09-22,https://www.pincusco.com/wp-content/uploads/2026/04/ZD1-ES443460578-2026_03_31-10_49_35.pdf,b7e8f7ae23949f4f4aea5e2c203fdaac05eb122b8669810531ff33da10749915,1
reopened_08_jackson_cpc_180385.pdf,NYC City Planning,2018-08-22,2026-09-22,https://www.nyc.gov/assets/planning/download/pdf/about/cpc/180385.pdf,f9b84dd56d12381b46007346ddf1e9fa1c84980ae9f54024644b08744525947f,2-3;5
reopened_10_dof_before_2008.pdf,NYC DOF,2008-12-05,2026-09-22,https://propertyinformationportal.nyc.gov/pdf/home/index/map_library/20330820081205152609,1d79ebf2eaf24c6539d548ccf3124c1b0a208bad46b5804b9f22393835891235,1
reopened_10_dof_after_2019.pdf,NYC DOF,2019-09-17,2026-09-22,https://propertyinformationportal.nyc.gov/pdf/home/index/map_library/20330820190917174936,93d713709973f3cf91f797d4e9ff6575676336a41bd882a41666439ba8515b05,1
