case,source,source_url_or_path,access_2026_09_20,status,pertinent_evidence
Lorimer,NYC DOF map effective 2019-11-10,../../output/dof_map_30307620191110112044.pdf,local original PDF,archived,Block 3076 before subdivision
Lorimer,NYC DOF map effective 2022-08-11,../../output/dof_map_30307620220811171416.pdf,local original PDF,archived,Block 3076 later separate lots 18 and 30
Lorimer,ODA architect project,https://oda-architecture.com/projects/lorimer-house/,web page,first-party page available,Connected 270-unit Lorimer House and 66-home Copper Lofts with bridge
Lorimer,Lorimer House and Copper Lofts leasing,https://lorimerhousebk.com/availability/,web page,first-party page available,Copper residents have access to Lorimer House amenities
Astoria,Development Site Advisors sold listing,https://developmentsiteadvisors.com/properties.html?borough=20&lot_sf=6100-Infinity,web page,first-party page available,Both addresses marketed as one 16277-square-foot sale site
Astoria,Z Architecture 31st Street portfolio,https://zarchitecture.com/portfolio/25-56-31st-street-queens-ny/,web page,first-party page available,2025 concept 84 rental apartments and commercial space
Astoria,Z Architecture 30th Street portfolio,https://zarchitecture.com/portfolio/26-37-30th-street-queens/,web page,first-party page available,2024 concept 30 condos parking and community facility
Astoria,Queens CB1 Housing Committee agenda,https://www.nyc.gov/assets/queenscb1/downloads/pdf/committee-meeting-agendas/2026/2026-Housing-Memo-Agenda-01_12.pdf,web indexed original PDF,not archived,Separate 25-60 31st UAP application on Jan 12 2026 agenda
Webster,MTA board staff summary 2023-02-23,../../output/webster_mta_property_interests_2023-02-23.pdf,local original PDF,archived,Earlier Longhouse plan combined 2740 and 2768 but fee TDR easement rights distinct
Webster,NYPL hosted 2752-2768 BCP application,https://www.nypl.org/sites-drupal/default/files/2026-01/2752-2768_Webster_Ave_BCP.pdf,web indexed original PDF,not archived,Former lots 91 and 100 merged; 1.409 acre table and inconsistent 1.049 prose
Webster,NYPL hosted 2752-2768 Dec 2025 RI work plan,https://www.nypl.org/sites-drupal/default/files/2026-01/2752%E2%80%932768_Webster_Ave_Dec25_Revised_RIWP.pdf,web indexed original PDF,not archived,Lot 110 formerly lots 91 and 100 about 1.4 acres
Webster,NYPL hosted 2740 Phase II ESA,https://www.nypl.org/sites-drupal/default/files/2026-03/6_2740_Webster_Phase2_ESA.pdf,web indexed original PDF,not archived,Separate site lots 85 92 93 about 0.55 acres; older mixed-use plan
Webster,NYSDEC hosted 2740 BCP application,https://extapps.dec.ny.gov/data/DecDocs/C203198/Application.BCP.C203198.2026-02-09.Complete_BCP_Application.pdf,web indexed original PDF,not archived,March 2025 survey depicts separate lots and easements; names owner since April 2025
Webster,NYPL hosted 2752-2768 April 2025 Phase I ESA,https://www.nypl.org/sites-drupal/default/files/2026-01/2752%E2%80%932768_Webster_Ave_April_2025_PhaseI_SESI_Part1.pdf,web indexed original PDF,not archived,Older marketing summary lists 2740 25000 ground; 2768 57000 ground; 51978 air rights
