parent_id,neighbor_job,review_decision,review_note
historical__220696851,220689921,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
historical__240274528,220720655,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
historical__321387021,321595369,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
historical__321595608,321598614,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
historical__321595608,321836983,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
historical__321595608,340790488,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
historical__321599141,321589134,Phase or ownership boundary unresolved,"Coney Island Associates Phase 2 is nearby, but the existing parent is Surf Avenue L/Cal. Do not infer common sponsorship from neighborhood development; ownership and phase documents are needed."
historical__321599141,B00561184,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
historical__420666014,421779285,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
historical__420666014,421797611,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
historical__420666014,421922478,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
historical__420666014,421926599,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
historical__420667488,420667004,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
historical__B00611166,B00591118,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
historical__B00611166,B00600073,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
historical__B00611166,B00600959,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
historical__B00611166,B00612352,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
historical__B00611166,B00614338,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
historical__B00611166,B00616358,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
historical__B00611166,B00645244,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
historical__B00611166,B00646753,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
historical__B00611166,B00650865,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
historical__B00611166,B00651087,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
historical__B00611166,B00729393,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
historical__B00678516,B00591681,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
historical__B00678516,B00678680,Missing companion supported at site level; building history unresolved,"A December 29, 2025 ACRIS zoning declaration groups block 2570 lots 5 (3 West), 10 (7 Wharf) and 30 with other waterfront parcels under M & H and West Development entities. Saved DOB has common Halcyon sponsorship and close filing dates. Common development is supported, but do not adopt 822 mechanically. PincusCo attaches 104 units and nine stories to the same 30 Wharf job that saved data describes as 483 units and forty stories. Resolve building identity/revisions and phase boundaries first. See report/ten_case_deep_review.md for sources and limits."
historical__M00599489,M00666777,No additional connection established,"Compared the saved addresses, named owners, timing and descriptions. No additional affirmative project connection was established in this review. Different owner labels are not proof of unrelated ultimate ownership; this is not an independently verified rejection."
historical__M00771041,M00771011,Common representative; boundary unresolved,The neighboring ZDJ filing names Susan Wu. The 489/501 Ninth project is also ZD Jasper; a common sponsor does not establish that this separate address belongs to the same opportunity.
historical__M00771041,M00813221,Common representative; boundary unresolved,The neighboring Warner Construction filing names Susan Wu. Check ownership affiliates and financing before combining this address with the Ninth Avenue project.
historical__Q00646746,Q00646754,Same wider development; phase boundary unresolved,Astoria Cove filings share date and sponsor across two existing parents. Public phase documents support a wider development; whether the four filings form one decision or separate phases remains unresolved.
