parent_id,archive_bbl,interpretation,source_url,source_detail
post_policy__B01172199-I1,3003880019,documented_old_site,https://extapps.dec.ny.gov/data/DecDocs/C224403/Agreement.BCP.C224403.2025-08-15.Amendment_No1_Change_Owner_Modify_Description.pdf,Page 1 identifies old lots 19/42/51 reapportioned into 19/20/21/57; survey on PDF page 32.
post_policy__B01172199-I1,3003880042,documented_old_site,https://extapps.dec.ny.gov/data/DecDocs/C224403/Agreement.BCP.C224403.2025-08-15.Amendment_No1_Change_Owner_Modify_Description.pdf,Page 1 identifies old lots 19/42/51 reapportioned into 19/20/21/57; survey on PDF page 32.
post_policy__B01172199-I1,3003880051,documented_old_site,https://extapps.dec.ny.gov/data/DecDocs/C224403/Agreement.BCP.C224403.2025-08-15.Amendment_No1_Change_Owner_Modify_Description.pdf,Page 1 identifies old lots 19/42/51 reapportioned into 19/20/21/57; survey on PDF page 32.
post_policy__B01316595-I1,3013060028,documented_old_site,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2026030900544002,Image page 3 describes old lot 28 as tentative lots 20/25/28/30 within one zoning lot.
post_policy__Q01243880-I1,4097950030,associated_condominium_extent,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2024081600593001,"Condominium declaration image page 5 names these six old parcels. The September 22 review applies the residential boundary from the 2026 declaration (2026051400252004, pp. 34-39/45); old 89/94 lie outside housing. This audit retains the full associated extent for comparison."
post_policy__Q01243880-I1,4097950065,associated_condominium_extent,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2024081600593001,"Condominium declaration image page 5 names these six old parcels. The September 22 review applies the residential boundary from the 2026 declaration (2026051400252004, pp. 34-39/45); old 89/94 lie outside housing. This audit retains the full associated extent for comparison."
post_policy__Q01243880-I1,4097950085,associated_condominium_extent,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2024081600593001,"Condominium declaration image page 5 names these six old parcels. The September 22 review applies the residential boundary from the 2026 declaration (2026051400252004, pp. 34-39/45); old 89/94 lie outside housing. This audit retains the full associated extent for comparison."
post_policy__Q01243880-I1,4097950089,associated_condominium_extent,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2024081600593001,"Condominium declaration image page 5 names these six old parcels. The September 22 review applies the residential boundary from the 2026 declaration (2026051400252004, pp. 34-39/45); old 89/94 lie outside housing. This audit retains the full associated extent for comparison."
post_policy__Q01243880-I1,4097950094,associated_condominium_extent,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2024081600593001,"Condominium declaration image page 5 names these six old parcels. The September 22 review applies the residential boundary from the 2026 declaration (2026051400252004, pp. 34-39/45); old 89/94 lie outside housing. This audit retains the full associated extent for comparison."
post_policy__Q01243880-I1,4097950130,associated_condominium_extent,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2024081600593001,"Condominium declaration image page 5 names these six old parcels. The September 22 review applies the residential boundary from the 2026 declaration (2026051400252004, pp. 34-39/45); old 89/94 lie outside housing. This audit retains the full associated extent for comparison."
post_policy__Q01243880-I1,4097950098,direct_filing_lot,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2022110700497003,Distinct filing BBLs also named in the October 2022 mortgage covering the associated site.
post_policy__Q01243880-I1,4097950099,direct_filing_lot,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2022110700497003,Distinct filing BBLs also named in the October 2022 mortgage covering the associated site.
post_policy__X01223342-I1,2029230027,documented_old_site,https://a002-epic.nyc.gov/api/files/80ea4186-4b6e-f011-826d-005056b05749/download,Executive summary (PDF page 9) and section 1.1: old lots 27 and 30 merged into tentative lot 27; investigation covers all four old lots.
post_policy__X01223342-I1,2029230030,documented_old_site,https://a002-epic.nyc.gov/api/files/80ea4186-4b6e-f011-826d-005056b05749/download,Executive summary (PDF page 9) and section 1.1: old lots 27 and 30 merged into tentative lot 27; investigation covers all four old lots.
post_policy__X01223342-I1,2029230031,documented_old_site,https://a002-epic.nyc.gov/api/files/80ea4186-4b6e-f011-826d-005056b05749/download,Executive summary (PDF page 9) and section 1.1: old lots 27 and 30 merged into tentative lot 27; investigation covers all four old lots.
post_policy__X01223342-I1,2029230035,documented_old_site,https://a002-epic.nyc.gov/api/files/80ea4186-4b6e-f011-826d-005056b05749/download,Executive summary (PDF page 9) and section 1.1: old lots 27 and 30 merged into tentative lot 27; investigation covers all four old lots.
post_policy__X01223342-I1,2029230135,documented_old_site,https://propertyinformationportal.nyc.gov/pdf/home/index/map_inset/20292320180305155223_1,September 15 DOF review: transaction 474542 dated December 18 2025 drops old lot 135 together with lot 30; historical inset 1 shows the frontage strip; 2023 PLUTO records 108 square feet.
post_policy__X01338717-I1,2022600001,documented_old_site,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2026070900534002,Image page 3 describes one zoning lot; diagram repartitions old lot 1 between tentative lots 1/38 and combines old 34/38 into tentative 34.
post_policy__X01338717-I1,2022600034,documented_old_site,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2026070900534002,Image page 3 describes one zoning lot; diagram repartitions old lot 1 between tentative lots 1/38 and combines old 34/38 into tentative 34.
post_policy__X01338717-I1,2022600038,documented_old_site,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2026070900534002,Image page 3 describes one zoning lot; diagram repartitions old lot 1 between tentative lots 1/38 and combines old 34/38 into tentative 34.
