sample,job_number_1,job_number_2,review_decision,review_basis,review_source,review_date
historical,320914962,320916167,reject,"Adjacent filings three days apart, but separate 22- and 94-unit buildings with different owners and unrelated development histories.",https://northgatereg.com/properties/1580-nostrand-avenue-2/,2026-09-09
historical,420652537,420652617,reject,"Adjacent filings six days apart, but The Harrison and Watermark Court Square were independent projects by different developers.",https://newyorkyimby.com/2016/05/27-story-watermark-court-square-at-27-19-44th-drive-rises-one-third-of-the-way-to-its-final-height.html,2026-09-09
historical,321595608,321588545,accept,The 39- and 77-unit filings belong to the same four-building Broadway Triangle complex; this reviewed edge joins the later filings within the 365-day parent window.,https://mayafiles.tase.co.il/rpdf/1563001-1564000/P1563409-01.pdf,2026-09-09
historical,B00751849,B00723172,reject,"Adjacent filings nine days apart, but the 48-unit and 8-unit buildings have different owners and were filed as separate projects.",https://www.pincusco.com/property/284-4-avenue/,2026-09-09
post_policy,B01054603-I1,B01166584-I1,reject,"Different owners and applicants, 238 days apart, and a withdrawn eight-unit proposal followed by a separately designed 33-unit completed building on the adjacent lot.",dob_now_build_job_filings_pull_20260710,2026-09-09
post_policy,Q01412354-I1,Q01416407-I1,reject,Adjacent concurrent filings belong to different developers: Q01412354 is ZD Jasper's lot-13 project; Q01416407 is part of EMP Capital's lot-16/18 project.,https://commercialobserver.com/2026/07/emp-capital-group-housing-astoria-development/,2026-09-09
post_policy,Q01412354-I1,Q01416408-I1,reject,Adjacent concurrent filings belong to different developers: Q01412354 is ZD Jasper's lot-13 project; Q01416408 is EMP Capital's 99-unit lot-16 project.,https://commercialobserver.com/2026/07/emp-capital-group-housing-astoria-development/,2026-09-09
post_policy,B01172199-I1,B01178945-I1,accept,290 Bergen is the fourth constituent of the same acquired site; DEC amendment maps former lots to development lots 19/20/21/57.,https://extapps.dec.ny.gov/data/DecDocs/C224403/Agreement.BCP.C224403.2025-08-15.Amendment_No1_Change_Owner_Modify_Description.pdf,2026-09-09
post_policy,B01350174-I1,B01372886-I1,accept,All three same-day descriptions explicitly identify development lots 21/28/29; this is lot 28. Same sponsor and architect.,dob_now_build_job_filings_pull_20260710,2026-09-09
post_policy,Q01177691-I1,Q01177738-I1,accept,"139 Beach 29th belongs to the reported three-building development; saved jobs share sponsor and applicant. The 147/155 Beach 30th alias remains a unit-schedule crosscheck, not a reason to omit this distinct companion.",https://commercialobserver.com/2025/11/new-apartment-buildings-coming-far-rockaway-queens/,2026-09-09
post_policy,Q01288130-I1,Q01332594-I1,accept,35-11 42nd is Building 2 of the documented three-building project; OER identifies lot 10 and 68 units.,https://a002-epic.nyc.gov/app/workspace/39106/docrepository,2026-09-09
post_policy,X01223342-I1,X01223350-I1,accept,October 2025 attached site plan names all three buildings 4121/4133/4137 at 99 units each; March 2026 statement lists lots 35/31/27 under one owner.,https://a002-epic.nyc.gov/api/files/a42e12f9-ce9f-f011-8274-005056b05749/download#page=77,2026-09-09
historical,S00661600,S00661661,accept,8 Stuyvesant and 172/178 Richmond are the three River North buildings. Membership accepted; saved units are not certified as the initial 2022 schedule.,https://www.nyc.gov/assets/planning/download/pdf/applicants/env-review/liberty-towers/tech-memo.pdf,2026-09-09
historical,B00678516,B00678680,accept,3 West and 7 Wharf share the same-day Halcyon development and are linked by the DOB route. Restore the observed 150-unit companion lost to a missing land match; do not interpret the saved 822 total as initial units before resolving 30 Wharf history.,dob_now_build_job_filings_pull_20260710,2026-09-09
historical,X00521651,X00640655,reject,767 and 769 East 232nd have separate sponsors and architects. September 2021 zoning statement confines East 232 Builders to lot 1; neighboring filing is lot 85. No affirmative common-development evidence. Ultimate affiliation and the 55-unit field remain separate unresolved questions.,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2021090800775002,2026-09-09
post_policy,X01150558-I1,X01229428-I1,reject,Separate current projects: 1660 on lot 1 under Vaja (2024 BCP names members Moses Freund and Chaim Wiesenfeld); 1674 contract through AJ Boone/Apex covers lots 3/5 and excludes lot 1. Different design teams. Historical industrial-lot association does not establish common development.,https://extapps.dec.ny.gov/data/DecDocs/C203130/Application.BCP.C203130.2024-10-28.Complete%20BCP%20Application.pdf#page=62; https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2025040900379001,2026-09-09
post_policy,X01380790-I1,X01380303-I1,reject,"PROVISIONAL separation: distinct named developers/designers; Wilson uses lot 6 under Boston Wilson Partners. Boston zoning drawing covers tentative lots 1/2 within current lot 1, excluding lot 6. No source establishes a joint development; ultimate ownership/control at filing remains unverified. Revisit before estimation.",https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2023053000354001; https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2026080500151002,2026-09-09
