reviewed_parent_id,review_decision,configuration_action,review_basis,review_source
post_policy__Q00657653-I1,accept,keep_additive,"Same-day 524- and 521-unit filings share a named owner, applicant, site BBL, scale, and parallel descriptions.",dob_now_build_job_filings_pull_20260710
post_policy__B00682883-I1,accept,keep_additive,"Adjacent six-unit buildings share a named owner, applicant, site BBL, design, and issued certificates of occupancy.",dob_now_build_job_filings_pull_20260710
post_policy__Q00681968-I1,accept,keep_additive,"Adjacent eight-unit filings are six days apart and share the same applicant, reported condominium-lot site, scale, and description.",dob_now_build_job_filings_pull_20260710
post_policy__B00698051-I1,accept,keep_additive,"The 32- and six-unit buildings share a named owner, applicant, site BBL, seven-story design, and permits.",dob_now_build_job_filings_pull_20260710
post_policy__Q00676589-I1,accept,keep_additive,"Adjacent eight-unit buildings were filed two days apart and share the same applicant, site BBL, scale, and description.",dob_now_build_job_filings_pull_20260710
post_policy__Q00697858-I1,accept,keep_additive,"Six same-day seven-unit filings have sequential addresses and lots and share one named owner, applicant, site BBL, and design.",dob_now_build_job_filings_pull_20260710
post_policy__B00696389-I1,accept,keep_additive,"Same-day 84- and 213-unit filings share a named owner, applicant, site BBL, eleven-story design, and permits.",dob_now_build_job_filings_pull_20260710
post_policy__B00699366-I1,accept,keep_additive,"Adjacent eight- and six-unit buildings share a named owner, applicant, site BBL, design, and issued certificates of occupancy.",dob_now_build_job_filings_pull_20260710
post_policy__B08017604-I1,accept,keep_additive,"All three same-day applications explicitly name one another, say they are on one zoning lot, and request one examiner; withdrawal does not make the contemporaneous proposal nonadditive.",dob_now_build_job_filings_pull_20260710
post_policy__B08005181-I1,accept,keep_additive,"Same-day adjacent six-unit filings share a named owner, applicant, site BBL, design, and permits.",dob_now_build_job_filings_pull_20260710
post_policy__B00851722-I1,accept,keep_additive,"Same-day 386- and 460-unit buildings have related Phase 1 owner entities, one applicant, a common site BBL, and permits.",dob_now_build_job_filings_pull_20260710
post_policy__Q00812159-I1,accept,keep_additive,"Six seven-unit filings expressly describe one zoning lot with seven tax lots and share one applicant and site BBL.",dob_now_build_job_filings_pull_20260710
post_policy__M00951038-I1,accept,keep_additive,"The same-day 56- and 64-unit proposals share a named owner, applicant, site BBL, height, and complementary addresses; the later withdrawal is an outcome of the original two-building proposal.",dob_now_build_job_filings_pull_20260710
post_policy__M01020109-I1,accept,keep_additive,"The 98- and 58-unit filings share a named owner, applicant, site BBL, nearby through-block addresses, and both reached permit or certificate status.",dob_now_build_job_filings_pull_20260710
post_policy__B01054603-I1,reject,split,"The filings are 238 days apart, have different owners and applicants, describe different four- and five-story buildings, and the earlier adjacent-lot filing was withdrawn before the later building received a certificate of occupancy.",dob_now_build_job_filings_pull_20260710
post_policy__Q01050372-I1,accept,keep_additive,"Adjacent six-unit buildings share an applicant, site BBL, nearly identical descriptions, and permits; the first filing lacks a usable named owner.",dob_now_build_job_filings_pull_20260710
post_policy__B01097093-I1,accept,keep_additive,"The DOB zoning diagram labels the five job numbers Buildings A through E on one development lot; all five propose 99 units and are linked by exact adjacency or the site BBL.",https://www.pincusco.com/property-data/ZD1_B01097108_1.pdf
post_policy__B01112739-I1,accept,keep_additive,"Adjacent filings share the same named owner and applicant, common site BBL, similar four-story descriptions, and approval status.",dob_now_build_job_filings_pull_20260710
post_policy__B01172199-I1,accept,keep_additive,"The 99+99+70 filings share a named owner, applicant, site BBL, eleven-story design, and dates within seven days; NYSDEC identifies all addresses as one remediation site.",https://extapps.dec.ny.gov/data/DecDocs/C224403/Work%20Plan.BCP.C224403.2026-02-13.ISCO%20Groundwater%20Treatment%20Design%20%28final%29.pdf
post_policy__B01225983-I1,accept,keep_additive,"The two 99-unit filings are 27 days apart and share a named owner, applicant, site BBL, eight-story design, and approval status.",https://commercialobserver.com/2025/05/299-shepherd-avenue-housing-development/
post_policy__X01239762-I1,accept,keep_additive,"The 61-unit filing explicitly says it is filed in conjunction with the 71-unit job; both share an applicant, site BBL, design, and permits.",dob_now_build_job_filings_pull_20260710
post_policy__X01252745-I1,accept,exclude_superseded,"The initial 70- and 60-unit filings explicitly reference one another but were withdrawn; the later 99-unit filing on the same site received the permit and financing, so the three filings are one economic parent but not additive.",https://www.pincusco.com/company/grun-group/
post_policy__X01250398-I1,accept,keep_additive,"The 77-, 84-, and 94-unit filings share a named owner, applicant, site BBL, coherent block addresses, and related nine- to twelve-story designs.",dob_now_build_job_filings_pull_20260710
post_policy__X01255412-I1,accept,keep_additive,"The paired 84-unit buildings share a named owner, applicant, site BBL, identical twelve-story design, and approval status.",dob_now_build_job_filings_pull_20260710
post_policy__Q01261189-I1,accept,keep_additive,"The 73-unit filing explicitly references the adjacent 60-unit job and states that the zoning lots share the same owner and applicant.",dob_now_build_job_filings_pull_20260710
post_policy__Q01261008-I1,accept,keep_additive,"Three same-day 82- to 87-unit filings share a named owner, applicant, coherent block addresses, and closely related building descriptions.",dob_now_build_job_filings_pull_20260710
post_policy__Q01266074-I1,accept,keep_additive,"The 88+99+99 filings share a named owner, applicant, site BBL, eight-story design, sequential Far Rockaway Boulevard addresses, and active approval or permit status.",dob_now_build_job_filings_pull_20260710
post_policy__B01278364-I1,accept,keep_additive,"Same-day 86- and 39-unit buildings share a named owner, applicant, site BBL, eight-story design, and two sides of one development site.",dob_now_build_job_filings_pull_20260710
post_policy__B01312761-I1,accept,keep_additive,"The 268- and 792-unit filings are five days apart and share an applicant, site BBL, private-owner coding, Dev Hub consultation, and adjacent Greenpoint waterfront addresses.",dob_now_build_job_filings_pull_20260710
post_policy__B01316595-I1,accept,keep_additive,"Four 99-unit filings share a named owner, applicant, site BBL, fourteen-story description, and dates within 26 days; the state brownfield agreement identifies the addresses as one property.",https://extapps.dec.ny.gov/data/DecDocs/C224343/Agreement.BCP.C224343.2025-12-05.BCA%20Amendment%20%232%20%28Remove%20Applicant%20%2B%20Change%20Owner%29.pdf
post_policy__B01328440-I1,accept,keep_additive,"Each filing explicitly names the other and states that the two buildings occupy one zoning lot with one owner and applicant.",dob_now_build_job_filings_pull_20260710
post_policy__Q01316403-I1,accept,keep_additive,"Same-day attached eight-unit buildings have adjacent addresses and lots and share one applicant, site BBL, scale, and description.",dob_now_build_job_filings_pull_20260710
post_policy__X01359460-I1,accept,keep_additive,"Both same-day filings identify MPP project 000000563 and share a named owner, applicant, site BBL, and adjacent addresses.",dob_now_build_job_filings_pull_20260710
post_policy__M01338581-I1,accept,keep_additive,"Seven same-day 99-unit filings share one named owner, applicant, site BBL, and parallel descriptions; The Real Deal independently reports seven planned buildings at the site.",https://therealdeal.com/new-york/2026/03/06/david-bistricer-embraces-99-unit-playbook/
post_policy__X01356168-I1,accept,keep_additive,"Three same-day buildings share Phipps Houses, Dattner Architects, one site BBL, and distinct building scales and addresses; two buildings may share one tax lot without being alternative filings.",dob_now_build_job_filings_pull_20260710
post_policy__B01412655-I1,accept,keep_additive,"Same-day Building 5 and Building 6 LIHTC owner entities share an applicant, reported project BBL, adjacent Flatlands Avenue addresses, and distinct 13- and 14-story buildings.",dob_now_build_job_filings_pull_20260710
post_policy__Q01412354-I1,reject,split_and_exclude_superseded,"The current four-filing parent combines independent developers: ZD Jasper's 99-unit lot-13 project and EMP Capital's neighboring lot-16/18 project. Reporting identifies EMP's current pair as 99 and 77 units, making its earlier 79-unit same-lot filing a superseded alternative.",https://commercialobserver.com/2026/07/emp-capital-group-housing-astoria-development/
