sample,parent_id,expected_component_jobs,reference_vintage,reference_bbls,reference_recorded_area_sqft,development_area_sqft,excluded_building_area_sqft,prior_site_use,area_basis,review_source,review_basis,review_date,built_floor_area_estimated
historical,historical__B00604543,B00604543,21v1,3024940006,12194,9011,0,,recorded_legal_area,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2021070601644010;https://www.nyc.gov/assets/brooklyncb1/downloads/pdf/meeting-minutes/Combine_Public_Hearing_and_Board_Meeting_Minutes_2-8-22.pdf,"Agreement p. 39 defines conveyed lot-6 ground; p. 52 separately retains the street strip. The January 2022 OER fact sheet 22VCP034K (February 2022 CB1 minutes, pp. 159-160) names both lots 6 and 10 as this building site. Both 21v1 lots have zero recorded building area.",2026-09-21,FALSE
historical,historical__B00604543,B00604543,21v1,3024940010,11890,11890,0,,recorded_legal_area,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2021070601644010;https://www.nyc.gov/assets/brooklyncb1/downloads/pdf/meeting-minutes/Combine_Public_Hearing_and_Board_Meeting_Minutes_2-8-22.pdf,"Agreement pp. 45-46 describes adjoining lot 10 at 11,890 square feet. Total ground is 9,011 + 11,890 = 20,901. Development rights transferred elsewhere add no ground.",2026-09-21,FALSE
historical,historical__B00698115,B00698115;B00698118;B00698117;B00722009,21v1,3051330014,126877,116870.79,175875,parking,recorded_legal_area,"https://extapps.dec.ny.gov/data/DecDocs/C224384/Easement.BCP.C224384.2024-12-20.Recorded%20EE.pdf;https://extapps.dec.ny.gov/data/DecDocs/C224384/Report.BCP.C224384.2023-10-26.Remedial%20Investigation%20Report.pdf;https://data.cityofnewyork.us/resource/64uk-42ks.json?%24where=bbl%20in(%273051330014%27,%273051330044%27,%273051330046%27,%273051350053%27,%273051350029%27)","Recorded deed descriptions pp. 13-14 allocate 43,413.10 and 73,457.69 square feet to housing lots 44 and 46. The October 2023 RIR pp. 13-14 identifies Sears as the only existing west building and describes parking outside it. Current PLUTO retains all 175,875 square feet of old building area on excluded Sears lot 14.",2026-09-21,FALSE
historical,historical__B00698115,B00698115;B00698118;B00698117;B00722009,21v1,3051350053,60650,60650,0,,archival_recorded_area,https://propertyinformationportal.nyc.gov/pdf/home/index/map_library/30513520240607105717,"DOF transaction 147303 names both east DOB jobs and partitions the entire earlier lot 53 into lots 29 and 53. Count the complete 21v1 lot once, including its 14,946 square feet of earlier auto-center floor area. Later east areas sum to 60,726; using the earlier 60,650 makes combined ground 177,520.79.",2026-09-21,FALSE
historical,historical__210180819,210180819;210180828,19v2,2028650134,42600,65613,0,,later_administrative_area_with_recorded_boundary,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2022031800654005,"Declaration pp. 3-8 defines the combined ground and excludes retained lots 129 and 162. Later administrative phase lots total 70,063; subtract the legal 4,450 contribution from old 162 to assign 65,613 to old 134. Retain its 80,370 square feet of 19v2 floor area and prefiling zoning.",2026-09-21,FALSE
historical,historical__210180819,210180819;210180828,19v2,2028650162,12500,4450,33750,vacant_land,recorded_legal_dimensions,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2022031800654005,"Declaration p. 4 defines the contributed strip as 44.50 by 100 feet; pp. 7-8 exclude retained lot 162. The 21v1 subdivision assigns all 33,750 square feet of earlier floor area to retained 162 and zero to the strip. Apply 19v2 R7-1 zoning to this 4,450-square-foot portion. Combined ground of 70,063 is reconstructed development land, not a February 2020 survey.",2026-09-21,FALSE
historical,historical__321387021,321387021;321387076;321387147,18v1_1,3024720002,64068,54503,0,,recorded_survey_area_reconciled_to_archival_parcels,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2022012501219001;https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2021073000417011;https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2021073000417012,"Confirmatory deed pp. 2-3 and 6-7 identifies present lot 21 at 106018 square feet, based on the October 5 2018 Langan survey. Old lot 2 contributes 64068 minus retained lot 2 area 9565 = 54503. Official 18v1_1/19v1 geometry confirms retained lot 2 lies in old lot 2. HPD agreements and the three DOB jobs identify the 745-unit phase on lot 21; separate later phase and street land are excluded.",2026-09-21,FALSE
historical,historical__321387021,321387021;321387076;321387147,18v1_1,3024720021,58823,51515,0,,recorded_survey_area_reconciled_to_archival_parcels,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2022012501219001;https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2021073000417011;https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2021073000417012,Old lot 21 contributes 58823 minus retained lot 3 area 7308 = 51515. Official 18v1_1/19v1 geometry places retained lot 3 wholly within old lot 21. The two contributions sum exactly to the recorded survey area 106018. Both earlier parcels have zero building area and R8 residential FAR 6.02; retain those source attributes. The 2022 instrument confirms a 2018 survey rather than supplying a new later footprint.,2026-09-21,FALSE
historical,historical__220700873,220700873,18v2beta,2036270001,553463,203910,0,,successor_recorded_area_with_recorded_development_boundary,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2020102600056002;https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2020042000191003,"Zoning declaration pp. 3-4 describes lots 1 and 10; p. 9 assigns both to 1580 Story and p. 11 gives both to Boynton Properties LLC. Their 21v1 administrative areas are 151992 and 51918. Exclude the separately retained and conveyed cooperative parcels and southern lots 35/36. The shared parking obligation adds no physical ground. Earlier recorded area 553463 is inconsistent with the legal whole northern parcel; retain its zero floor area, parking use and prefiling R6 FAR 2.43 on the documented development ground. Later documents establish observed ground, not title at the June 2019 filing.",2026-09-21,FALSE
historical,historical__210182069,210182069,20v5,2023490038;2023490046;2023490047;2023490100,225839,120272,25962,,successor_administrative_area_with_job_specific_site_plan,https://a810-bisweb.nyc.gov/bisweb/BSCANJobDocumentContentServlet?passjobnumber=210182069&scancode=ES615641380;https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2021091800077026;https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2021091800077027,"Exact-job ZD1 p. 2 draws one connected building across old lots 46/47 and 100, plus the acquired strip of old 38; the old-38 building, State parcels and mapped park are outside. July 2021 deeds put both development parcels in common tenancy. The successor lot 46 measures 120272 in administrative data. Earlier areas do not reconcile exactly through the reconfiguration; adopt that documented combined boundary without inventing internal areas. All four reference parcels have residential FAR 3.44 and broad FAR 6.5. Preserve all four earlier lots and their mixed zoning/use; exclude the 25962 floor area of the retained old-38 building, leaving 31850. Later boundary records do not backdate ownership to filing.",2026-09-21,FALSE
historical,historical__121207292,121207292;121207522,19v2,1003460037;1003460075,32395,32395,4600,,archival_recorded_ground_with_documented_floor_correction,https://www.nyc.gov/assets/planning/download/pdf/applicants/env-review/go-broome/01-deis.pdf;https://www.nyc.gov/assets/planning/download/pdf/about/cpc/200061a.pdf,"User approved zero earlier floor on September 22. DEIS pp. 2-3 and plan p. 13 assign both buildings and courtyard to old lots 37/75 and exclude retained 1/95. CPC pp. 2-3 distinguishes the 51884-square-foot zoning lot from the two-lot development ground. Common prefiling 19v2 ground totals 32395; residential FAR 6.02 and broad FAR 6.5 are preserved. CPC p. 4 dates complete synagogue demolition to June 2019 and DEIS p. 3 reports zero existing floor, before the November 2019 reference snapshot. Deduct the stale 4600 archived floor as an explicit source-error correction, not floor retained outside the site. Former lot 37 is vacant; lot 75 is parking, so aggregate prior use stays mixed. This documented zero is not an imputation.",2026-09-22,FALSE
