filename,url,retrieved_or_exported_date,bytes,sha256,provenance_note
penn_ground_lease_2022122800734016.pdf,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2022122800734016,2026-09-20,262850,ba3cf7721f7498c323e230ec5bcab4173e7991db77be810a52ef6e30acdc525e,"ACRIS browser Save All export 2026-09-20; original 7-page recorded image; pp 3,7 decisive"
jerome_deed_2021070800201002.pdf,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2021070800201002,2026-09-20,547354,63d04d0a8935b64092fe55220f6b234162c6eaf1e897f03a319a2e10ba8b94ae,"ACRIS browser Save All export 2026-09-20; original 12-page recorded image; pp 3,6 decisive"
penn_cohort_map.pdf,https://propertyinformationportal.nyc.gov/pdf/home/index/map_library/10075120081209150257,2026-09-20,143163,76a2e0eb0cc15bf8b9c41de8a59283ca6b5f660490b6b5d95cf44caa2eb5488d,DOF original 1-page tax map effective 2008-12-09; obtained 2026-09-20
penn_split_map.pdf,https://propertyinformationportal.nyc.gov/pdf/home/index/map_library/10075120220914110818,2026-09-20,147419,60a67d191825a84108974f73dfac0e3f9f1827850729a39e15eaffd21d29de7d,DOF original 1-page tax map effective 2022-09-14; obtained 2026-09-20
jerome_cohort_map.pdf,https://propertyinformationportal.nyc.gov/pdf/home/index/map_library/20319020081205133939,2026-09-20,134057,8fd9253003660853077296f95e291dc6fefdc527bd545897b438ead45cc52454,DOF original 1-page tax map effective 2008-12-05; copied from prior archived acquisition
jerome_split_map.pdf,https://propertyinformationportal.nyc.gov/pdf/home/index/map_library/20319020210421110212,2026-09-20,143693,404a239a25a6c0ed4ed4107a64747bce9a74109d5cee3a2b55355d88a403d3e6,DOF original 1-page tax map effective 2021-04-21; copied from prior archived acquisition
acris_master_targeted.json,https://data.cityofnewyork.us/resource/bnx9-e6tj.json?%24where=document_id+in+%28%272022122800734016%27%2C%272020071300244001%27%2C%272021070800201002%27%2C%272021070800201003%27%2C%272021070800201004%27%2C%272021070800201007%27%29&%24limit=5000,2026-09-20,2338,a5dba3fd81b77d4d2db1de76377c87ee3f727e2c83020b865093a797c9346817,NYC DOF official Open Data ACRIS Master API; 6 targeted instrument rows; obtained 2026-09-20
acris_legals_targeted.json,https://data.cityofnewyork.us/resource/8h5j-fqxa.json?%24where=document_id+in+%28%272022122800734016%27%2C%272020071300244001%27%2C%272021070800201002%27%2C%272021070800201003%27%2C%272021070800201004%27%2C%272021070800201007%27%29&%24limit=5000,2026-09-20,2311,1130ac19e2d9d742ef2d08999444c949b53c036361b8dc7d22d08163c6221dc7,NYC DOF official Open Data ACRIS Legals API; 8 parcel-index rows; obtained 2026-09-20
acris_parties_targeted.json,https://data.cityofnewyork.us/resource/636b-3b5g.json?%24where=document_id+in+%28%272022122800734016%27%2C%272020071300244001%27%2C%272021070800201002%27%2C%272021070800201003%27%2C%272021070800201004%27%2C%272021070800201007%27%29&%24limit=5000,2026-09-20,5676,3ad2d23d82f839a6ee268212332d605cd73718bf04e959c3c88acbcc098836b0,NYC DOF official Open Data ACRIS Parties API; targeted party rows; obtained 2026-09-20
jerome_memorandum_lease_2021070800201004.pdf,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2021070800201004,2026-09-20,375325,a4055152303b592a7670ca75b61f370b6180c0b8a3a823f66828bdeda2ee2e3c,"ACRIS browser Save All export 2026-09-20; original 9-page recorded image; pp 3,9 decisive; copied from user Downloads"
