file,url,retrieved_date,bytes,sha256,notes
acris_legals_block2319_lots37_39.json,"https://data.cityofnewyork.us/resource/8h5j-fqxa.json?$where=borough=2%20AND%20block=2319%20AND%20lot%20in(37,38,39)&$order=document_id%20DESC&$limit=5000",2026-09-21,27965,a3fb432d4a0fb9eb104f9408c2329e8a32d7f916d2c071f90950bec137959543,Original public-source bytes retained without alteration.
acris_master_2020090200965.json,https://data.cityofnewyork.us/resource/bnx9-e6tj.json?$where=document_id%20between%20%222020090200965001%22%20and%20%222020090200965015%22&$order=document_id&$limit=100,2026-09-21,4251,05223dba36b8d9d21a59a2e87ed584815939b258697acc52310e32a28ed65f89,Original public-source bytes retained without alteration.
acris_master_crfn_2015000030717.json,https://data.cityofnewyork.us/resource/bnx9-e6tj.json?$where=crfn=%222015000030717%22&$limit=100,2026-09-21,379,f57787fd15eaf8555e9d74e0544b006a71194bb62a46b939da81f77d0f7da851,Original public-source bytes retained without alteration.
acris_parties_2020090200965.json,https://data.cityofnewyork.us/resource/636b-3b5g.json?$where=document_id%20between%20%222020090200965001%22%20and%20%222020090200965015%22&$order=document_id&$limit=500,2026-09-21,3689,9864908d1449ad7a2a3f883f7f58cebf03eea7be78f1fbfcdb96b9f91395d1a3,Original public-source bytes retained without alteration.
dec_bca_2020.pdf,https://extapps.dec.ny.gov/data/DecDocs/C203125/Agreement.BCP.C203125.2020-02-18.Executed%20BCA.pdf,2026-09-21,980259,bfad0046fa53d3f27dab70bab471a7bd357c300c66b8fc68f6bba08a1c360ef7,Original public-source bytes retained without alteration.
dec_bca_amendment_2020_subdivide.pdf,https://extapps.dec.ny.gov/data/DecDocs/C203125/Agreement.BCP.C203125.2020-07-08.Executed%20BCA%20Amendment%20No.%201%20-%20Subdivide%20Tax%20Lot%20.pdf,2026-09-21,1113453,7ecd6f2405056f30c1813bb1df295cd932ee3a9d7796f1a459bc1354bbecc8dc,Original public-source bytes retained without alteration.
dec_final_engineering_report_appendix_d.pdf,https://extapps.dec.ny.gov/data/DecDocs/C203125/Report.BCP.C203125.2022-12-29.FER_APPENDIX%20D.pdf,2026-09-21,65586562,c5185ea51dd73bc985f283fb66037e2aede5cd327fbf8abd1541aa2a49a7288c,"Complete official 3,609-page DEC appendix; decisive original pages 37, 148, 154-155, and 184 visually reviewed."
dob_bis_motto_jobs.json,"https://data.cityofnewyork.us/resource/ic3t-wcy2.json?$where=job__%20in(%22210180533%22,%22210180542%22)&$order=job__,doc__&$limit=500",2026-09-21,17613,e451410904b5f5a6cf0d16e93bb32d0c7de70e9a561c1078dc4a6e37166f8f05,Original public-source bytes retained without alteration.
dof_dtm_15_transaction_89746.csv,https://services6.arcgis.com/yG5s3afENB5iO9fj/ArcGIS/rest/services/DTM_ETL_DAILY_view/FeatureServer/15,2026-09-21,199,e6bf2ae0f898a68b3761ba996366143aa9cec39653f017af28b6f0bd79ce049b,Exact rows extracted from the frozen 2026-09-15 official DOF layer-15 snapshot.
dof_dtm_9_transaction_89746.csv,https://services6.arcgis.com/yG5s3afENB5iO9fj/ArcGIS/rest/services/DTM_ETL_DAILY_view/FeatureServer/9,2026-09-21,1160,539255273e7b6407bb813f43508f6872626d3acee07e03dcc15150b5d0e56197,Exact row extracted from the frozen 2026-09-15 official DOF layer-9 snapshot.
mappluto_19v1_block2319.csv,https://s-media.nyc.gov/agencies/dcp/assets/files/zip/data-tools/bytes/mappluto/nyc_mappluto_19v1_arc_shp.zip,2026-09-21,280,7e6064ef987822cc75533b73aa4f7b96c006e60a56773c9fe638c5dbefc56905,Exact block/lot rows extracted from the retained official 19v1 archive.
mappluto_20v5_block2319.csv,https://s-media.nyc.gov/agencies/dcp/assets/files/zip/data-tools/bytes/mappluto/nyc_mappluto_20v5_arc_shp.zip,2026-09-21,422,ab9dc2be866ecda04e6b12aa95a537c742e776ebaf5b2dafdfb5692ab6bbc2f1,Exact block/lot rows extracted from the retained official 20v5 archive.
motto_development_2020090200965004.pdf,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2020090200965004,2026-09-21,2507341,0db534e09ee4ac01e6463a30e93b27aa31d4e306d7bc989c623c87b00f4f776f,"Complete original public ACRIS export; decisive pages 4, 9, and 32-34 visually reviewed."
motto_dof_map_after_20200416.pdf,https://propertyinformationportal.nyc.gov/pdf/home/index/map_library/20231920200416175925,2026-09-21,245890,4e2836566e7eb27cc31a2cc9cc571493304c48b88476726297a9d8065d702af9,Original public-source bytes retained without alteration.
motto_dof_map_before_20190617.pdf,https://propertyinformationportal.nyc.gov/pdf/home/index/map_library/20231920190617141001,2026-09-21,244186,d93091f6be08c55242ed8103257f59ce46b5b15e5e21fbdb2f5daa12a1e17ba9,Original public-source bytes retained without alteration.
motto_easement_2020090200965011.pdf,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2020090200965011,2026-09-21,485375,f7102977aad0b318db9eec3bb99d99faed31df4b12d8f992c39f8949187ed495,Complete original public ACRIS export; decisive page 3 visually reviewed.
motto_proposed_site_lot_decision.csv,derived from registered primary sources,2026-09-21,1144,0b5bda2824ec40224f1b6158eada0299fc976fc8fc4b1a0869f09a50529cbe5c,Derived recommendation for root adjudication; not a source and not a central decision-table edit.
motto_zoning_2020090200965002.pdf,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2020090200965002,2026-09-21,281095,fe02eeef3bbb34dd1c4757e66ef4cf156397e729afe049efbade36ef294518b7,Complete original public ACRIS export; broad zoning-lot evidence only.
