parent_id,cohort_year,review_decision,evidence_basis,source_url,review_note
historical__220104303,2011,confirm_parent,Official HPD environmental review describes the two buildings as one 106-unit East Clarke Place development,https://www.nyc.gov/assets/hpd/downloads/pdfs/services/may-20-11-fonsi.pdf,73 and 33 units
historical__520132963,2012,confirm_parent,Official City Planning review treats the buildings as the single Navy Pier Court development,https://www.nyc.gov/assets/planning/download/pdf/applicants/env-review/bay-street-corridor/08-feis.pdf,467 and 104 units
historical__420652877,2014,confirm_parent,Contemporaneous project reporting identifies both towers as components of Jackson Park,https://newyorkyimby.com/2016/05/three-tower-1771-unit-residential-project-rises-above-street-level-at-28-10-jackson-avenue-long-island-city.html,671 and 650 units
historical__321195489,2016,confirm_parent,Official HPD project list identifies the Vandalia filings as Spring Creek Phase 4B-1,https://www.nyc.gov/assets/operations/images/content/rezoning/eastnewyork/HPD_Sponsored_%20Projects_in_ENY_062018.pdf,twenty adjacent 8-unit filings
historical__220617198,2017,confirm_parent,DOB permit descriptions explicitly cross-reference the two new-building jobs,https://www.buildzoom.com/contractor/tg-nickel-associates-llc,66 and 66 units
historical__210180187,2018,confirm_parent,Official DEC title material lists both jobs on one zoning lot and the permit description explicitly cross-references them,https://extapps.dec.ny.gov/data/DecDocs/C203113/Work%20Plan.BCP.C203113.2019-09-12.RAWP.pdf,87 and 83 units
historical__321805828,2018,confirm_parent,The filings are same-day adjacent lots under the same owner and later trade permits identify both Dupont Street buildings,https://www.buildzoom.com/contractor/lis-piping-solution,279 and 194 units
historical__321386059,2019,confirm_parent,Development reporting identifies the filings as buildings in the four-building Linden Terrace project,https://absre.com/wp-content/uploads/2020/06/Development-Mid-Q2-2019-min.pdf,160 and 156 units
historical__220696851,2019,confirm_parent,Official DEC materials define the adjacent 310 and 334 Grand Concourse lots as one development site,https://extapps.dec.ny.gov/data/DecDocs/C203121/Report.BCP.C203121.2018-04-01.Phase%20I%20ESA.pdf,151 and 150 units filed the same day
historical__321595608,2019,confirm_parent,Project appraisal identifies the three later filings as buildings in the Broadway Triangle complex,https://mayafiles.tase.co.il/rpdf/1563001-1564000/P1563409-01.pdf,39 plus 58 plus 77 units within the 365-day parent window
historical__421133026,2020,confirm_parent,Project reporting identifies the two buildings as the single 99-unit Fabric Astoria development,https://newyorkyimby.com/2024/01/rendering-revealed-for-fabric-astoria-at-22-54-45th-street-and-22-51-45th-street-in-astoria-queens.html,35 and 64 units
historical__X00515857,2021,confirm_parent,Adjacent filings share normalized owner and developer and were filed two days apart,https://www.buildzoom.com/contractor/selca-construction-inc,60 and 94 units
historical__Q00646746,2022,confirm_parent,Contemporaneous reporting identifies both buildings as components of one four-building Cape Advisors project,https://www.pincusco.com/cape-advisors-files-four-new-building-plans-for-a-total-of-469-units-in-astoria/,138 and 108 HDB-priority units
historical__Q08032504,2022,confirm_parent,Adjacent same-day filings have the same Willets Point Phase I owner and identical affordable-housing descriptions,https://www.buildzoom.com/contractor/hudson-yards-const-ii-llc,534 and 347 units
