source_id,source_name,access_mode,official_url,raw_subdir,expected_filename,vintage,unit,geography_fields,date_field,start_date,end_date,checksum_sha256,notes
dcp_housing_database_project_level,DCP Housing Database project-level files,public_script,https://apps.nyc.gov/content-api/v1/content/planning/resources/datasets/housing-project-level,data_raw/dcp_housing_database_project_level/<release>,nychdb_<release>_csv.zip,rolling_release,project,bbl;bin;borough;community_district;council_district,datepermit,2010-01-01,,,"Primary project-level source for housing jobs, unit counts, permit dates, and completion status."
dcp_pluto_current,DCP current PLUTO release,public_script,https://apps.nyc.gov/content-api/v1/content/planning/resources/datasets/mappluto-pluto-change,data_raw/dcp_pluto_current/<release_or_pull_date>,nyc_pluto_<release>_csv.zip,rolling_release,lot,bbl;borough;block;lot,yearbuilt,,,,"Versioned DCP release source for lot attributes used in baseline capacity and parcel controls."
dcp_mappluto_current,DCP current MapPLUTO release,public_script,https://apps.nyc.gov/content-api/v1/content/planning/resources/datasets/mappluto-pluto-change,data_raw/dcp_mappluto_current/<release_or_pull_date>,nyc_mappluto_<release>_shp.zip,rolling_release,lot,bbl;cd;council;geometry,yearbuilt,,,,"Versioned DCP release source for lot geometry, adjacency, and spatial joins."
dcp_mappluto_archive,DCP archived MapPLUTO releases,public_script,https://www.nyc.gov/assets/planning/json/content/resources/dataset-archives/mappluto-pluto-change.json,data_raw/dcp_mappluto_archive/<release_or_pull_date>,nyc_mappluto_<release>_arc_shp.zip,release,lot,bbl;cd;council;geometry,yearbuilt,2018-01-01,,,"Official DCP archived MapPLUTO shapefile releases used to build as-of lot features and frozen pre-policy risk sets. Current archive pipeline starts with 2018 releases; earlier HDB labels need older PLUTO vintages before main as-of training."
dcp_mappluto_release_calendar,Curated MapPLUTO release calendar,public_manual,https://www.nyc.gov/assets/planning/json/content/resources/dataset-archives/mappluto-pluto-change.json,tasks/define_mappluto_release_calendar/code,mappluto_release_calendar_manual.csv,fixed_metadata,release,vintage;source_id,safe_available_date,2018-12-07,2023-12-28,,"Task-local release calendar used for one-release-lag HDB-to-MapPLUTO matching. Dates are conservative safe-available dates derived from official archive zip internal timestamps."
dob_bis_job_filings,DOB BIS job application filings,public_script,https://data.cityofnewyork.us/api/views/fdfu-9c4g/rows.csv?accessType=DOWNLOAD,data_raw/dob_bis_job_filings/<pull_date>,dob_bis_job_filings.csv,rolling,job,bbl;bin;address;community_board;council_district,pre__filing_date,2000-01-01,,,"Filing-side support for owner, applicant, architect, and timing checks before DOB NOW coverage."
dob_now_build_job_filings,DOB NOW Build job application filings,public_script,https://data.cityofnewyork.us/api/views/w9ak-ipjd/rows.csv?accessType=DOWNLOAD,data_raw/dob_now_build_job_filings/<pull_date>,dob_now_build_job_filings.csv,rolling,job,bbl;bin;address;community_district;council_district,filing_date,2016-08-04,,,"Filing-side support for owner, applicant, architect, and timing checks during the post-policy period."
dob_permit_issuance_current,DOB Permit Issuance current public dataset,public_script,https://data.cityofnewyork.us/api/views/ipu4-2q9a/rows.csv?accessType=DOWNLOAD,data_raw/dob_permit_issuance_current/<pull_date>,dob_permit_issuance_current.csv,rolling,permit,bbl;bin;address;community_board;council_district,issuance_date,,,,"Permit-side check on project timing and completion lanes."
dof_acris_real_property_master,ACRIS Real Property Master,public_script,https://data.cityofnewyork.us/api/views/bnx9-e6tj/rows.csv?accessType=DOWNLOAD,data_raw/dof_acris_real_property_master/<pull_date>,acris_real_property_master.csv,rolling,document,document_id;crfn;recorded_borough;document_date;recorded_datetime;document_amt;percent_trans,recorded_datetime,1966-01-01,,,"Core ACRIS document table for land sale prices, recording dates, document types, and transfer amounts."
dof_acris_real_property_legals,ACRIS Real Property Legals,public_script,https://data.cityofnewyork.us/api/views/8h5j-fqxa/rows.csv?accessType=DOWNLOAD,data_raw/dof_acris_real_property_legals/<pull_date>,acris_real_property_legals.csv,rolling,document_lot,document_id;borough;block;lot,good_through_date,1966-01-01,,,"ACRIS legal-property table for linking recorded documents to BBLs."
dof_acris_real_property_parties,ACRIS Real Property Parties,public_script,https://data.cityofnewyork.us/api/views/636b-3b5g/rows.csv?accessType=DOWNLOAD,data_raw/dof_acris_real_property_parties/<pull_date>,acris_real_property_parties.csv,rolling,document_party,document_id;party_type;name;address_1;address_2,good_through_date,1966-01-01,,,"ACRIS party table for grantor, grantee, and ownership-history linkage."
dof_acris_real_property_references,ACRIS Real Property References,public_script,https://data.cityofnewyork.us/api/views/pwkr-dpni/rows.csv?accessType=DOWNLOAD,data_raw/dof_acris_real_property_references/<pull_date>,acris_real_property_references.csv,rolling,document_reference,document_id;reference_by_crfn_;reference_by_doc_id,good_through_date,1966-01-01,,,"ACRIS cross-reference table for document chains and corrections."
hpd_485x_program_materials,HPD 485-x program materials,public_manual,https://www.nyc.gov/site/hpd/services-and-information/tax-incentives-485-x.page,data_raw/hpd_485x_program_materials/<pull_date>,hpd_485x_program_page.html,rolling,program_document,option;unit_count_threshold;zone;wage_requirement,pull_date,2024-04-20,,,"Official HPD page for 485-x rules, registration notice, applications, workbooks, affidavits, and templates."
hpd_485x_registrations,HPD 485-x registration records,agency_request,https://www.nyc.gov/site/hpd/services-and-information/tax-incentives-485-x.page,data_raw/hpd_485x_registrations/<request_id>,hpd_485x_registrations.csv,request,project,bbl;address;owner;applicant;commencement_date;units;option,commencement_date,2024-04-20,,,"Project-level registration/application records if HPD publishes or releases them. Track public availability before filing any request."
