parent_id,archive_bbl,interpretation,source_url,source_detail,archive_address,lot_area_sqft,lotfront,lotdepth
post_policy__B01172199-I1,3003880019,documented_old_site,https://extapps.dec.ny.gov/data/DecDocs/C224403/Agreement.BCP.C224403.2025-08-15.Amendment_No1_Change_Owner_Modify_Description.pdf,Page 1 identifies old lots 19/42/51 reapportioned into 19/20/21/57; survey on PDF page 32.,268 BERGEN STREET,46692,399.92,200
post_policy__B01172199-I1,3003880042,documented_old_site,https://extapps.dec.ny.gov/data/DecDocs/C224403/Agreement.BCP.C224403.2025-08-15.Amendment_No1_Change_Owner_Modify_Description.pdf,Page 1 identifies old lots 19/42/51 reapportioned into 19/20/21/57; survey on PDF page 32.,287 WYCKOFF STREET,2000,20,100
post_policy__B01172199-I1,3003880051,documented_old_site,https://extapps.dec.ny.gov/data/DecDocs/C224403/Agreement.BCP.C224403.2025-08-15.Amendment_No1_Change_Owner_Modify_Description.pdf,Page 1 identifies old lots 19/42/51 reapportioned into 19/20/21/57; survey on PDF page 32.,WYCKOFF STREET,2000,20,100
post_policy__B01316595-I1,3013060028,documented_old_site,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2026030900544002,Image page 3 describes old lot 28 as tentative lots 20/25/28/30 within one zoning lot.,73-97 EMPIRE BOULEVARD,38118,198.17,199.33
post_policy__Q01243880-I1,4097950030,associated_condominium_extent,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2024081600593001,"Condominium declaration image page 5 names these six old parcels. The September 22 review applies the residential boundary from the 2026 declaration (2026051400252004, pp. 34-39/45); old 89/94 lie outside housing. This audit retains the full associated extent for comparison.",89-29 165 STREET,6800,100,68
post_policy__Q01243880-I1,4097950065,associated_condominium_extent,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2024081600593001,"Condominium declaration image page 5 names these six old parcels. The September 22 review applies the residential boundary from the 2026 declaration (2026051400252004, pp. 34-39/45); old 89/94 lie outside housing. This audit retains the full associated extent for comparison.",89-01 165 STREET,40635,189,215
post_policy__Q01243880-I1,4097950085,associated_condominium_extent,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2024081600593001,"Condominium declaration image page 5 names these six old parcels. The September 22 review applies the residential boundary from the 2026 declaration (2026051400252004, pp. 34-39/45); old 89/94 lie outside housing. This audit retains the full associated extent for comparison.",89-25 165 STREET,16275,75,217
post_policy__Q01243880-I1,4097950089,associated_condominium_extent,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2024081600593001,"Condominium declaration image page 5 names these six old parcels. The September 22 review applies the residential boundary from the 2026 declaration (2026051400252004, pp. 34-39/45); old 89/94 lie outside housing. This audit retains the full associated extent for comparison.",89-26 MERRICK BOULEVARD,15000,100,150
post_policy__Q01243880-I1,4097950094,associated_condominium_extent,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2024081600593001,"Condominium declaration image page 5 names these six old parcels. The September 22 review applies the residential boundary from the 2026 declaration (2026051400252004, pp. 34-39/45); old 89/94 lie outside housing. This audit retains the full associated extent for comparison.",90-06 MERRICK BOULEVARD,8175,75,109
post_policy__Q01243880-I1,4097950130,associated_condominium_extent,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2024081600593001,"Condominium declaration image page 5 names these six old parcels. The September 22 review applies the residential boundary from the 2026 declaration (2026051400252004, pp. 34-39/45); old 89/94 lie outside housing. This audit retains the full associated extent for comparison.",89-39 165 STREET,8175,75,109
post_policy__Q01243880-I1,4097950098,direct_filing_lot,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2022110700497003,Distinct filing BBLs also named in the October 2022 mortgage covering the associated site.,89-45 165 STREET,10936,50,218
post_policy__Q01243880-I1,4097950099,direct_filing_lot,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2022110700497003,Distinct filing BBLs also named in the October 2022 mortgage covering the associated site.,165 STREET,5544,0,0
post_policy__X01223342-I1,2029230027,documented_old_site,https://a002-epic.nyc.gov/api/files/80ea4186-4b6e-f011-826d-005056b05749/download,Executive summary (PDF page 9) and section 1.1: old lots 27 and 30 merged into tentative lot 27; investigation covers all four old lots.,4137 3 AVENUE,5515,54.05,102.14
post_policy__X01223342-I1,2029230030,documented_old_site,https://a002-epic.nyc.gov/api/files/80ea4186-4b6e-f011-826d-005056b05749/download,Executive summary (PDF page 9) and section 1.1: old lots 27 and 30 merged into tentative lot 27; investigation covers all four old lots.,4135 3 AVENUE,2584,25.02,103.26
